Instrument,Type,Market Rate,Model Rate,Error (bp)
SR1M1,SOFR_1M,0.04274713000000006,0.04274713000000067,6.106226635438361e-12
SR1M2,SOFR_1M,0.04341423000000006,0.043414230000000005,-5.551115123125783e-13
SR1M3,SOFR_1M,0.04403257999999994,0.04403257999999968,-2.5673907444456745e-12
SR1M4,SOFR_1M,0.04460548000000003,0.04460548000000016,1.3183898417423734e-12
SR1M5,SOFR_1M,0.04516374999999997,0.04516374999999983,-1.3877787807814457e-12
SR1M6,SOFR_1M,0.045681649999999935,0.0456816499999997,-2.3592239273284576e-12
SR3M1,SOFR_3M,0.04685561000000007,0.046855610000000415,3.469446951953614e-12
SR3M2,SOFR_3M,0.04805987000000002,0.04805987000000034,3.191891195797325e-12
SR3M3,SOFR_3M,0.04907021,0.04907020999999973,-2.706168622523819e-12
SR3M4,SOFR_3M,0.04992954999999995,0.04992955000000019,2.42861286636753e-12
SR3M5,SOFR_3M,0.050656330000000055,0.05065632999999973,-3.2612801348363973e-12
SR3M6,SOFR_3M,0.051261030000000006,0.05126103000000004,3.469446951953614e-13
